PointID,X,Y,Z,phase1::Pressure,phase1::PhaseVolumeFraction,phase1::Density,phase1::Time,phase2::PhaseVolumeFraction,phase2::Density,phase1::Viscosity_0,phase2::Viscosity_0
0,1.4325318864001648,0.4751814080570984,0.0,12030099.077109564,0.9999999900000004,1027.61,1.3579476910000003,9.999999600000012e-09,202.66160060853463,0.00025,2.25e-05
1,1.7024999999973778,0.0,0.0,11951189.303930577,0.999999989965142,1027.61,1.3579476910000003,1.0024470454583232e-08,201.0098272833613,0.00025,2.25e-05
2,1.4274961957802257,0.961375762672203,0.0,11938932.542253133,0.9999999900000004,1027.61,1.3579476910000003,1.0000679709489936e-08,200.7536300597779,0.00025,2.25e-05
3,1.4345530662325343,0.8452487157871625,0.0,11962308.58805244,0.99999998999606,1027.61,1.3579476910000003,1.0008609612228817e-08,201.2423338092076,0.00025,2.25e-05
4,1.466173866079575,0.5650117039035507,0.0,12002834.343335642,0.9999999899844084,1027.61,1.3579476910000003,1.0017136602299006e-08,202.09042243454255,0.00025,2.25e-05
5,1.6086694236078567,0.8028783886078664,0.0,11910612.100083848,0.9999999899770374,1027.61,1.3579476910000003,1.0023947974995056e-08,200.1620397947325,0.00025,2.25e-05
6,1.9061622161266167,0.967167863230105,0.0,11792879.636479244,0.9999999899830984,1027.61,1.3579476910000003,1.0023471672934556e-08,197.708395897978,0.00025,2.25e-05
7,1.838783670899272,0.1808173426385399,0.0,11896637.91488878,0.9999999899811248,1027.61,1.3579476910000003,1.0024681037403089e-08,199.87032572363023,0.00025,2.25e-05
8,2.007463491464589,0.6414830182994975,0.0,11806252.35936094,0.9999999899776298,1027.61,1.3579476910000003,1.0024096744478236e-08,197.9866312702508,0.00025,2.25e-05
9,1.701685059004646,0.6288845329016939,0.0,11905748.065350432,0.999999989972073,1027.61,1.3579476910000003,1.0024729696204351e-08,200.0604874120765,0.00025,2.25e-05
10,1.889355162762615,0.5474821718947204,0.0,11853236.997473156,0.9999999899772024,1027.61,1.3579476910000003,1.0024294979460762e-08,198.96514574910847,0.00025,2.25e-05
11,1.3362383190836418,0.6948660400474334,0.0,12030839.194603035,0.9999999900000004,1027.61,1.3579476910000003,9.999999600000022e-09,202.6771123508781,0.00025,2.25e-05
